id,date,confirmed,deaths
AL,2020-01-22,0,0
AL,2020-01-23,0,0
AL,2020-01-24,0,0
AL,2020-01-25,0,0
AL,2020-01-26,0,0
AL,2020-01-27,0,0
AL,2020-01-28,0,0
AL,2020-01-29,0,0
AL,2020-01-30,0,0
AL,2020-01-31,0,0
AL,2020-02-01,0,0
AL,2020-02-02,0,0
AL,2020-02-03,0,0
AL,2020-02-04,0,0
AL,2020-02-05,0,0
AL,2020-02-06,0,0
AL,2020-02-07,0,0
AL,2020-02-08,0,0
AL,2020-02-09,0,0
AL,2020-02-10,0,0
AL,2020-02-11,0,0
AL,2020-02-12,0,0
AL,2020-02-13,0,0
AL,2020-02-14,0,0
AL,2020-02-15,0,0
AL,2020-02-16,0,0
AL,2020-02-17,0,0
AL,2020-02-18,0,0
AL,2020-02-19,0,0
AL,2020-02-20,0,0
AL,2020-02-21,0,0
AL,2020-02-22,0,0
AL,2020-02-23,0,0
AL,2020-02-24,0,0
AL,2020-02-25,0,0
AL,2020-02-26,0,0
AL,2020-02-27,0,0
AL,2020-02-28,0,0
AL,2020-02-29,0,0
AL,2020-03-01,0,0
AL,2020-03-02,0,0
AL,2020-03-03,0,0
AL,2020-03-04,0,0
AL,2020-03-05,0,0
AL,2020-03-06,0,0
AL,2020-03-07,0,0
AL,2020-03-08,0,0
AL,2020-03-09,0,0
AL,2020-03-10,0,0
AL,2020-03-11,0,0
AL,2020-03-12,0,0
AL,2020-03-13,5,0
AL,2020-03-14,6,0
AL,2020-03-15,12,0
AL,2020-03-16,29,0
AL,2020-03-17,39,0
AL,2020-03-18,46,0
AL,2020-03-19,78,0
AL,2020-03-20,83,0
AL,2020-03-21,131,0
AL,2020-03-22,138,0
AL,2020-03-23,138,0
AK,2020-01-22,0,0
AK,2020-01-23,0,0
AK,2020-01-24,0,0
AK,2020-01-25,0,0
AK,2020-01-26,0,0
AK,2020-01-27,0,0
AK,2020-01-28,0,0
AK,2020-01-29,0,0
AK,2020-01-30,0,0
AK,2020-01-31,0,0
AK,2020-02-01,0,0
AK,2020-02-02,0,0
AK,2020-02-03,0,0
AK,2020-02-04,0,0
AK,2020-02-05,0,0
AK,2020-02-06,0,0
AK,2020-02-07,0,0
AK,2020-02-08,0,0
AK,2020-02-09,0,0
AK,2020-02-10,0,0
AK,2020-02-11,0,0
AK,2020-02-12,0,0
AK,2020-02-13,0,0
AK,2020-02-14,0,0
AK,2020-02-15,0,0
AK,2020-02-16,0,0
AK,2020-02-17,0,0
AK,2020-02-18,0,0
AK,2020-02-19,0,0
AK,2020-02-20,0,0
AK,2020-02-21,0,0
AK,2020-02-22,0,0
AK,2020-02-23,0,0
AK,2020-02-24,0,0
AK,2020-02-25,0,0
AK,2020-02-26,0,0
AK,2020-02-27,0,0
AK,2020-02-28,0,0
AK,2020-02-29,0,0
AK,2020-03-01,0,0
AK,2020-03-02,0,0
AK,2020-03-03,0,0
AK,2020-03-04,0,0
AK,2020-03-05,0,0
AK,2020-03-06,0,0
AK,2020-03-07,0,0
AK,2020-03-08,0,0
AK,2020-03-09,0,0
AK,2020-03-10,0,0
AK,2020-03-11,0,0
AK,2020-03-12,0,0
AK,2020-03-13,1,0
AK,2020-03-14,1,0
AK,2020-03-15,1,0
AK,2020-03-16,1,0
AK,2020-03-17,3,0
AK,2020-03-18,6,0
AK,2020-03-19,9,0
AK,2020-03-20,12,0
AK,2020-03-21,15,0
AK,2020-03-22,21,0
AK,2020-03-23,21,0
AZ,2020-01-22,0,0
AZ,2020-01-22,0,0
AZ,2020-01-22,0,0
AZ,2020-01-22,0,0
AZ,2020-01-23,0,0
AZ,2020-01-23,0,0
AZ,2020-01-23,0,0
AZ,2020-01-23,0,0
AZ,2020-01-24,0,0
AZ,2020-01-24,0,0
AZ,2020-01-24,0,0
AZ,2020-01-24,0,0
AZ,2020-01-25,0,0
AZ,2020-01-25,0,0
AZ,2020-01-25,0,0
AZ,2020-01-25,0,0
AZ,2020-01-26,0,0
AZ,2020-01-26,1,0
AZ,2020-01-26,0,0
AZ,2020-01-26,0,0
AZ,2020-01-27,0,0
AZ,2020-01-27,1,0
AZ,2020-01-27,0,0
AZ,2020-01-27,0,0
AZ,2020-01-28,0,0
AZ,2020-01-28,1,0
AZ,2020-01-28,0,0
AZ,2020-01-28,0,0
AZ,2020-01-29,0,0
AZ,2020-01-29,1,0
AZ,2020-01-29,0,0
AZ,2020-01-29,0,0
AZ,2020-01-30,0,0
AZ,2020-01-30,1,0
AZ,2020-01-30,0,0
AZ,2020-01-30,0,0
AZ,2020-01-31,0,0
AZ,2020-01-31,1,0
AZ,2020-01-31,0,0
AZ,2020-01-31,0,0
AZ,2020-02-01,0,0
AZ,2020-02-01,1,0
AZ,2020-02-01,0,0
AZ,2020-02-01,0,0
AZ,2020-02-02,0,0
AZ,2020-02-02,1,0
AZ,2020-02-02,0,0
AZ,2020-02-02,0,0
AZ,2020-02-03,0,0
AZ,2020-02-03,1,0
AZ,2020-02-03,0,0
AZ,2020-02-03,0,0
AZ,2020-02-04,0,0
AZ,2020-02-04,1,0
AZ,2020-02-04,0,0
AZ,2020-02-04,0,0
AZ,2020-02-05,0,0
AZ,2020-02-05,1,0
AZ,2020-02-05,0,0
AZ,2020-02-05,0,0
AZ,2020-02-06,0,0
AZ,2020-02-06,1,0
AZ,2020-02-06,0,0
AZ,2020-02-06,0,0
AZ,2020-02-07,0,0
AZ,2020-02-07,1,0
AZ,2020-02-07,0,0
AZ,2020-02-07,0,0
AZ,2020-02-08,0,0
AZ,2020-02-08,1,0
AZ,2020-02-08,0,0
AZ,2020-02-08,0,0
AZ,2020-02-09,0,0
AZ,2020-02-09,1,0
AZ,2020-02-09,0,0
AZ,2020-02-09,0,0
AZ,2020-02-10,0,0
AZ,2020-02-10,1,0
AZ,2020-02-10,0,0
AZ,2020-02-10,0,0
AZ,2020-02-11,0,0
AZ,2020-02-11,1,0
AZ,2020-02-11,0,0
AZ,2020-02-11,0,0
AZ,2020-02-12,0,0
AZ,2020-02-12,1,0
AZ,2020-02-12,0,0
AZ,2020-02-12,0,0
AZ,2020-02-13,0,0
AZ,2020-02-13,1,0
AZ,2020-02-13,0,0
AZ,2020-02-13,0,0
AZ,2020-02-14,0,0
AZ,2020-02-14,1,0
AZ,2020-02-14,0,0
AZ,2020-02-14,0,0
AZ,2020-02-15,0,0
AZ,2020-02-15,1,0
AZ,2020-02-15,0,0
AZ,2020-02-15,0,0
AZ,2020-02-16,0,0
AZ,2020-02-16,1,0
AZ,2020-02-16,0,0
AZ,2020-02-16,0,0
AZ,2020-02-17,0,0
AZ,2020-02-17,1,0
AZ,2020-02-17,0,0
AZ,2020-02-17,0,0
AZ,2020-02-18,0,0
AZ,2020-02-18,1,0
AZ,2020-02-18,0,0
AZ,2020-02-18,0,0
AZ,2020-02-19,0,0
AZ,2020-02-19,1,0
AZ,2020-02-19,0,0
AZ,2020-02-19,0,0
AZ,2020-02-20,0,0
AZ,2020-02-20,1,0
AZ,2020-02-20,0,0
